stationname,parameter,date,hour,conc
Cid.Universitária-USP-Ipen,O3,2019-01-09,12,107
Cid.Universitária-USP-Ipen,O3,2019-01-09,13,142
Cid.Universitária-USP-Ipen,O3,2019-01-09,14,182
Cid.Universitária-USP-Ipen,O3,2019-01-09,15,204
Cid.Universitária-USP-Ipen,O3,2019-01-09,16,198
Cid.Universitária-USP-Ipen,O3,2019-01-09,17,181
Cid.Universitária-USP-Ipen,O3,2019-01-09,18,168
Cid.Universitária-USP-Ipen,O3,2019-01-09,19,134
Cid.Universitária-USP-Ipen,O3,2019-01-09,20,99
Cid.Universitária-USP-Ipen,O3,2019-01-09,21,96
Cid.Universitária-USP-Ipen,O3,2019-01-09,22,86
Cid.Universitária-USP-Ipen,O3,2019-01-09,23,57
Cid.Universitária-USP-Ipen,O3,2019-01-09,24,44
Cid.Universitária-USP-Ipen,O3,2019-01-10,1,37
Cid.Universitária-USP-Ipen,O3,2019-01-10,2,26
Cid.Universitária-USP-Ipen,O3,2019-01-10,3,23
Cid.Universitária-USP-Ipen,O3,2019-01-10,4,14
Cid.Universitária-USP-Ipen,O3,2019-01-10,5,12
Cid.Universitária-USP-Ipen,O3,2019-01-10,6,7
Cid.Universitária-USP-Ipen,O3,2019-01-10,7,19
Cid.Universitária-USP-Ipen,O3,2019-01-10,8,21
Cid.Universitária-USP-Ipen,O3,2019-01-10,9,40
Cid.Universitária-USP-Ipen,O3,2019-01-10,10,59
Cid.Universitária-USP-Ipen,O3,2019-01-10,11,76
Cid.Universitária-USP-Ipen,O3,2019-01-10,12,100
Cid.Universitária-USP-Ipen,O3,2019-01-10,13,110
Cid.Universitária-USP-Ipen,O3,2019-01-10,14,109
Cid.Universitária-USP-Ipen,O3,2019-01-10,15,123
Cid.Universitária-USP-Ipen,O3,2019-01-10,16,133
Cid.Universitária-USP-Ipen,O3,2019-01-10,17,125
Cid.Universitária-USP-Ipen,O3,2019-01-10,18,122
